label,prompt
people crowd,The bustling and murmuring sound of a crowd
skidding,The scraping and skidding sound of a vehicle losing traction
playing saxophone,The smooth and jazzy sound of a saxophone being played
playing didgeridoo,The deep and droning sound of a didgeridoo being played
playing vibraphone,The ringing and percussive sound of a vibraphone being played
playing bongo,The rhythmic and percussive sound of bongos being played
motorboat,The roaring and splashing sound of a motorboat
subway,The rushing and rumbling sound of a subway train
bowling impact,The clattering and crashing sound of bowling pins being hit
playing piano,The rich and melodic sound of a piano being played
dog growling,The warning and growling sound of a dog
lions roaring,The powerful and roaring sound of lions
planing timber,The grinding and planing sound of wood being worked
skiing,The swooshing and sliding sound of skis on snow
lawn mowing,The droning and cutting sound of a lawn mower
playing electric guitar,The amplified and rocking sound of an electric guitar being played
playing sitar,The twangy and Indian sound of a sitar being played
lathe spinning,The whirring and spinning sound of a lathe
playing bass drum,The deep and booming sound of a bass drum being played
typing on typewriter,The clacking and typing sound of a typewriter
driving motorcycle,The roaring and accelerating sound of a motorcycle
sharpen knife,The scraping and sharpening sound of a knife
people cheering,The enthusiastic and cheering sound of people
ocean burbling,The rhythmic and bubbling sound of the ocean
church bell ringing,The ringing and reverberating sound of church bells
singing choir,The harmonious and uplifting sound of a choir singing
playing electronic organ,The electronic and versatile sound of an organ being played
horse clip-clop,The rhythmic and clopping sound of a horse
people whistling,The cheerful and whistling sound of people
playing glockenspiel,The ringing and percussive sound of a glockenspiel being played
people whispering,The hushed and whispering sound of people
male speech,The deep and commanding sound of a male voice speaking
owl hooting,The eerie and hooting sound of an owl
frog croaking,The rhythmic and croaking sound of a frog
female speech,The clear and expressive sound of a female voice speaking
playing tambourine,The jingling and percussive sound of a tambourine being played
playing table tennis,The bouncing and hitting sound of a table tennis ball
printer printing,The whirring and printing sound of a printer
roller coaster running,The roaring and thrilling sound of a roller coaster
crow cawing,The harsh and cawing sound of a crow
police radio chatter,The urgent and crackling sound of police radio chatter
turkey gobbling,The gobbling and chatty sound of a turkey
tap dancing,The rhythmic and tapping sound of tap dancing
playing synthesizer,The electronic and futuristic sound of a synthesizer being played
helicopter,The whirring and chopping sound of a helicopter
playing hammond organ,The soulful and jazzy sound of a Hammond organ being played
chicken crowing,The crowing and chatty sound of a chicken
cattle,The mooing and lowing sound of cattle
playing steel guitar,The twangy and steel sound of a steel guitar being played
woodpecker pecking tree,The rhythmic and pecking sound of a woodpecker on a tree
cattle mooing,The lowing and mooing sound of cattle
playing trombone,The brassy and sliding sound of a trombone being played
playing flute,The airy and delicate sound of a flute being played
playing ukulele,The bright and plucky sound of a ukulele being played
volcano explosion,The explosive and booming sound of a volcano erupting
canary calling,The chirping and calling sound of a canary
baby laughter,The joyful and giggling sound of a baby laughing
playing harmonica,The bluesy and soulful sound of a harmonica being played
slot machine,The ringing and clanging sound of a slot machine
playing theremin,The eerie and otherworldly sound of a theremin being played
yodelling,The yodelling and echoing sound of a traditional Swiss song
tapping guitar,The rhythmic and tapping sound of a guitar being played
